,theta,signal_vis_15,signal_tir_15,signal_vis_20,signal_tir_20,signal_vis_25,signal_tir_25
0,0.0,3.020586374793594e-13,1.1661150779197628e-12,3.0205863747935944e-15,1.1661150779197631e-14,3.020586374793594e-17,1.166115077919763e-16
1,0.1,2.853347909553543e-13,1.1660777568010397e-12,2.853347909553566e-15,1.1660777568010401e-14,2.853347909553566e-17,1.16607775680104e-16
2,0.2,2.7659094373235443e-13,1.1659658077428479e-12,2.7659094373235556e-15,1.1659658077428482e-14,2.7659094373235557e-17,1.1659658077428481e-16
3,0.30000000000000004,2.696016687720283e-13,1.1657792736273225e-12,2.6960166877202943e-15,1.1657792736273226e-14,2.6960166877202946e-17,1.1657792736273225e-16
4,0.4,2.635845482930665e-13,1.165518225885361e-12,2.635845482930665e-15,1.165518225885361e-14,2.6358454829306646e-17,1.1655182258853609e-16
5,0.5,2.5821695752519857e-13,1.1651827644377175e-12,2.5821695752519965e-15,1.1651827644377178e-14,2.5821695752519966e-17,1.1651827644377176e-16
6,0.6000000000000001,2.5332618178209747e-13,1.1647730176126438e-12,2.5332618178209537e-15,1.1647730176126442e-14,2.533261817820954e-17,1.1647730176126442e-16
7,0.7000000000000001,2.4880616301509435e-13,1.1642891420402443e-12,2.4880616301509337e-15,1.1642891420402445e-14,2.4880616301509332e-17,1.1642891420402446e-16
8,0.8,2.445859042334009e-13,1.1637313225236974e-12,2.4458590423339993e-15,1.1637313225236977e-14,2.4458590423339988e-17,1.1637313225236974e-16
9,0.9,2.4061495466778656e-13,1.1630997718875595e-12,2.4061495466778755e-15,1.1630997718875599e-14,2.4061495466778755e-17,1.1630997718875598e-16
10,1.0,2.3685585511464916e-13,1.1623947308033804e-12,2.3685585511465015e-15,1.1623947308033806e-14,2.3685585511465015e-17,1.1623947308033804e-16
11,1.1,2.3327983999027045e-13,1.1616164675929442e-12,2.3327983999027045e-15,1.1616164675929444e-14,2.3327983999027047e-17,1.1616164675929444e-16
12,1.2000000000000002,2.2986422272097277e-13,1.1607652780094016e-12,2.2986422272097373e-15,1.1607652780094018e-14,2.298642227209737e-17,1.1607652780094017e-16
13,1.3,2.2659071954242583e-13,1.1598414849967074e-12,2.2659071954242584e-15,1.1598414849967074e-14,2.265907195424258e-17,1.1598414849967073e-16
14,1.4000000000000001,2.2344432854805013e-13,1.1588454384276867e-12,2.2344432854805104e-15,1.158845438427687e-14,2.2344432854805106e-17,1.1588454384276868e-16
15,1.5,2.2041255352305793e-13,1.1577775148211883e-12,2.204125535230579e-15,1.1577775148211884e-14,2.204125535230579e-17,1.1577775148211884e-16
16,1.6,2.174848506059125e-13,1.1566381170387662e-12,2.1748485060591248e-15,1.1566381170387665e-14,2.1748485060591248e-17,1.1566381170387664e-16
17,1.7000000000000002,2.1465222388962667e-13,1.155427673961366e-12,2.146522238896267e-15,1.155427673961366e-14,2.1465222388962667e-17,1.155427673961366e-16
18,1.8,2.1190692348182716e-13,1.1541466401465296e-12,2.1190692348182714e-15,1.1541466401465297e-14,2.1190692348182715e-17,1.1541466401465296e-16
19,1.9000000000000001,2.092422158242347e-13,1.1527954954666731e-12,2.0924221582423297e-15,1.1527954954666732e-14,2.0924221582423296e-17,1.152795495466673e-16
20,2.0,2.0665220609341863e-13,1.1513747447289849e-12,2.0665220609341864e-15,1.1513747447289851e-14,2.0665220609341865e-17,1.151374744728985e-16
21,2.1,2.0413169886569883e-13,1.1498849172775621e-12,2.0413169886569883e-15,1.1498849172775625e-14,2.0413169886569885e-17,1.1498849172775625e-16
22,2.2,2.016760873774623e-13,1.1483265665783985e-12,2.016760873774631e-15,1.1483265665783986e-14,2.0167608737746314e-17,1.1483265665783985e-16
23,2.3000000000000003,1.992812644830972e-13,1.1467002697878713e-12,1.992812644830972e-15,1.1467002697878716e-14,1.9928126448309718e-17,1.1467002697878714e-16
24,2.4000000000000004,1.9694355030381053e-13,1.145006627305404e-12,1.9694355030381052e-15,1.145006627305404e-14,1.9694355030381053e-17,1.145006627305404e-16
25,2.5,1.9465963287596323e-13,1.1432462623109873e-12,1.9465963287596243e-15,1.1432462623109874e-14,1.9465963287596243e-17,1.1432462623109875e-16
26,2.6,1.9242651903870674e-13,1.141419820288278e-12,1.92426519038706e-15,1.1414198202882784e-14,1.9242651903870595e-17,1.141419820288278e-16
27,2.7,1.9024149347017176e-13,1.1395279685340093e-12,1.902414934701718e-15,1.1395279685340095e-14,1.9024149347017178e-17,1.1395279685340094e-16
28,2.8000000000000003,1.8810208426982684e-13,1.1375713956544583e-12,1.8810208426982685e-15,1.1375713956544585e-14,1.8810208426982685e-17,1.1375713956544583e-16
29,2.9000000000000004,1.8600603384559576e-13,1.1355508110497484e-12,1.8600603384559504e-15,1.1355508110497487e-14,1.86006033845595e-17,1.1355508110497484e-16
30,3.0,1.8395127413429141e-13,1.133466944386743e-12,1.8395127413429143e-15,1.1334669443867431e-14,1.8395127413429144e-17,1.133466944386743e-16
31,3.1,1.8193590538823657e-13,1.1313205450613601e-12,1.8193590538823583e-15,1.1313205450613604e-14,1.8193590538823584e-17,1.1313205450613602e-16
32,3.2,1.7995817791702795e-13,1.1291123816510945e-12,1.7995817791702797e-15,1.1291123816510948e-14,1.7995817791702795e-17,1.1291123816510945e-16
33,3.3000000000000003,1.780164762938744e-13,1.1268432413585634e-12,1.780164762938737e-15,1.1268432413585635e-14,1.7801647629387366e-17,1.1268432413585635e-16
34,3.4000000000000004,1.7610930562975025e-13,1.124513929446918e-12,1.761093056297517e-15,1.1245139294469181e-14,1.761093056297517e-17,1.1245139294469182e-16
35,3.5,1.7423527959224693e-13,1.1221252686679585e-12,1.7423527959224692e-15,1.1221252686679587e-14,1.742352795922469e-17,1.1221252686679586e-16
36,3.6,1.7239310990423382e-13,1.1196780986837762e-12,1.723931099042338e-15,1.1196780986837762e-14,1.7239310990423382e-17,1.1196780986837762e-16
37,3.7,1.7058159710391156e-13,1.1171732754828053e-12,1.7058159710391157e-15,1.1171732754828054e-14,1.7058159710391155e-17,1.1171732754828054e-16
38,3.8000000000000003,1.687996223850974e-13,1.114611670791103e-12,1.6879962238509814e-15,1.1146116707911034e-14,1.687996223850981e-17,1.1146116707911032e-16
39,3.9000000000000004,1.6704614036664684e-13,1.1119941714797501e-12,1.6704614036664753e-15,1.1119941714797504e-14,1.6704614036664753e-17,1.1119941714797503e-16
40,4.0,1.6532017266441406e-13,1.1093216789692113e-12,1.6532017266441408e-15,1.1093216789692115e-14,1.6532017266441407e-17,1.1093216789692115e-16
41,4.1000000000000005,1.63620802159106e-13,1.106595108631525e-12,1.6362080215910602e-15,1.1065951086315253e-14,1.6362080215910602e-17,1.1065951086315252e-16
42,4.2,1.6194716786982564e-13,1.1038153891911839e-12,1.6194716786982566e-15,1.1038153891911841e-14,1.6194716786982566e-17,1.1038153891911839e-16
43,4.3,1.6029846035664718e-13,1.1009834621255762e-12,1.602984603566465e-15,1.1009834621255762e-14,1.602984603566465e-17,1.1009834621255762e-16
44,4.4,1.5867391758683324e-13,1.0981002810658292e-12,1.5867391758683323e-15,1.0981002810658294e-14,1.5867391758683323e-17,1.0981002810658292e-16
45,4.5,1.5707282120870715e-13,1.0951668111989417e-12,1.5707282120870715e-15,1.0951668111989418e-14,1.5707282120870715e-17,1.0951668111989417e-16
46,4.6000000000000005,1.5549449318500136e-13,1.0921840286720302e-12,1.5549449318500136e-15,1.0921840286720304e-14,1.5549449318500135e-17,1.0921840286720302e-16
47,4.7,1.5393829274416963e-13,1.0891529199995718e-12,1.5393829274417026e-15,1.0891529199995719e-14,1.5393829274417027e-17,1.0891529199995718e-16
48,4.800000000000001,1.5240361361371996e-13,1.08607448147446e-12,1.524036136137187e-15,1.0860744814744603e-14,1.524036136137187e-17,1.08607448147446e-16
49,4.9,1.5088988150431685e-13,1.082949718583754e-12,1.5088988150431686e-15,1.0829497185837543e-14,1.5088988150431682e-17,1.0829497185837542e-16
50,5.0,1.4939655181748958e-13,1.0578587688478375e-12,1.4939655181748959e-15,1.0578587688478377e-14,1.4939655181748958e-17,1.0578587688478375e-16
51,5.1000000000000005,1.4792310755316178e-13,1.0553824662634552e-12,1.4792310755316179e-15,1.0553824662634553e-14,1.4792310755316178e-17,1.0553824662634553e-16
52,5.2,1.4646905739620726e-13,1.0528531432905865e-12,1.4646905739620727e-15,1.0528531432905867e-14,1.4646905739620726e-17,1.0528531432905866e-16
53,5.300000000000001,1.4503393396373042e-13,1.050271654196262e-12,1.45033933963731e-15,1.0502716541962622e-14,1.45033933963731e-17,1.0502716541962621e-16
54,5.4,1.4361729219696194e-13,1.0476388623878473e-12,1.4361729219696193e-15,1.0476388623878474e-14,1.4361729219696196e-17,1.0476388623878472e-16
55,5.5,1.4221870788356257e-13,1.0449556398223802e-12,1.4221870788356317e-15,1.0449556398223802e-14,1.4221870788356317e-17,1.0449556398223803e-16
56,5.6000000000000005,1.408377762977262e-13,1.042222866418257e-12,1.4083777629772678e-15,1.0422228664182571e-14,1.408377762977268e-17,1.0422228664182569e-16
57,5.7,1.3947411094692802e-13,1.0394414294698581e-12,1.3947411094692915e-15,1.0394414294698583e-14,1.3947411094692915e-17,1.0394414294698582e-16
58,5.800000000000001,1.381273424153716e-13,1.0366122230656885e-12,1.3812734241537158e-15,1.0366122230656888e-14,1.381273424153716e-17,1.0366122230656886e-16
59,5.9,1.3679711729529807e-13,1.0337361475105967e-12,1.3679711729529752e-15,1.0337361475105969e-14,1.3679711729529753e-17,1.0337361475105969e-16
60,6.0,1.35483097198241e-13,1.0308141087526096e-12,1.3548309719824102e-15,1.0308141087526098e-14,1.3548309719824101e-17,1.0308141087526097e-16
61,6.1000000000000005,1.3418495783916446e-13,1.0278470178149075e-12,1.3418495783916447e-15,1.0278470178149077e-14,1.3418495783916448e-17,1.0278470178149077e-16
62,6.2,1.329023881871388e-13,1.0248357902334568e-12,1.3290238818713772e-15,1.0248357902334569e-14,1.3290238818713772e-17,1.0248357902334568e-16
63,6.300000000000001,1.3163508967685748e-13,1.0217813455007658e-12,1.3163508967685747e-15,1.021781345500766e-14,1.3163508967685747e-17,1.0217813455007659e-16
64,6.4,1.3038277547588203e-13,1.0186846065162507e-12,1.3038277547588203e-15,1.018684606516251e-14,1.3038277547588202e-17,1.0186846065162508e-16
65,6.5,1.2914516980297148e-13,1.0155464990436488e-12,1.291451698029715e-15,1.015546499043649e-14,1.2914516980297149e-17,1.015546499043649e-16
66,6.6000000000000005,1.2792200729335048e-13,1.0123679511759122e-12,1.2792200729335048e-15,1.0123679511759124e-14,1.2792200729335047e-17,1.0123679511759123e-16
67,6.7,1.2671303240713526e-13,1.0091498928079899e-12,1.2671303240713528e-15,1.0091498928079901e-14,1.2671303240713526e-17,1.00914989280799e-16
68,6.800000000000001,1.255179988774758e-13,1.0058932551178714e-12,1.255179988774758e-15,1.0058932551178716e-14,1.2551799887747581e-17,1.0058932551178714e-16
69,6.9,1.2433666919535227e-13,1.002598970056286e-12,1.2433666919535227e-15,1.0025989700562862e-14,1.2433666919535227e-17,1.0025989700562861e-16
70,7.0,1.23168814128176e-13,9.992679698453779e-13,1.23168814128176e-15,9.992679698453778e-15,1.23168814128176e-17,9.992679698453778e-17
71,7.1000000000000005,1.2201421226963526e-13,9.959011864866972e-13,1.2201421226963528e-15,9.959011864866974e-15,1.2201421226963526e-17,9.959011864866973e-17
72,7.2,1.2087264961846005e-13,9.92499551278808e-13,1.2087264961846003e-15,9.92499551278808e-15,1.2087264961846005e-17,9.924995512788079e-17
73,7.300000000000001,1.1974391918395642e-13,9.890639943447912e-13,1.1974391918395642e-15,9.890639943447913e-15,1.1974391918395642e-17,9.890639943447913e-17
74,7.4,1.1862782061636473e-13,9.85595444169928e-13,1.1862782061636473e-15,9.855954441699282e-15,1.1862782061636474e-17,9.85595444169928e-17
75,7.5,1.1752415986026615e-13,9.820948271497635e-13,1.1752415986026613e-15,9.820948271497637e-15,1.1752415986026615e-17,9.820948271497635e-17
76,7.6000000000000005,1.164327488293751e-13,9.785630671488344e-13,1.164327488293751e-15,9.785630671488345e-15,1.1643274882937512e-17,9.785630671488344e-17
77,7.7,1.1535340510125727e-13,9.750010850702054e-13,1.1535340510125821e-15,9.750010850702057e-15,1.153534051012582e-17,9.750010850702056e-17
78,7.800000000000001,1.1428595163055032e-13,9.714097984360409e-13,1.1428595163055032e-15,9.71409798436041e-15,1.142859516305503e-17,9.714097984360408e-17
79,7.9,1.1323021647945093e-13,9.677901209793391e-13,1.1323021647945091e-15,9.677901209793393e-15,1.1323021647945091e-17,9.67790120979339e-17
80,8.0,1.1218603256428675e-13,9.641429622470147e-13,1.1218603256428585e-15,9.64142962247015e-15,1.1218603256428585e-17,9.641429622470149e-17
81,8.1,1.111532374171002e-13,9.604692272144203e-13,1.1115323741709929e-15,9.604692272144205e-15,1.1115323741709929e-17,9.604692272144203e-17
82,8.200000000000001,1.1013167296124422e-13,9.56769815911424e-13,1.1013167296124422e-15,9.56769815911424e-15,1.1013167296124422e-17,9.567698159114239e-17
83,8.3,1.0912118530008937e-13,9.530456230601518e-13,1.0912118530008938e-15,9.530456230601519e-15,1.0912118530008938e-17,9.530456230601518e-17
84,8.4,1.0812162451796272e-13,9.492975377244317e-13,1.0812162451796271e-15,9.492975377244318e-15,1.0812162451796273e-17,9.492975377244317e-17
85,8.5,1.0713284449257178e-13,9.455264429710278e-13,1.0713284449257091e-15,9.455264429710277e-15,1.0713284449257091e-17,9.455264429710277e-17
86,8.6,1.0615470271814828e-13,9.417332155426741e-13,1.0615470271814828e-15,9.417332155426743e-15,1.061547027181483e-17,9.417332155426741e-17
87,8.700000000000001,1.0518706013866472e-13,9.37918725542952e-13,1.0518706013866472e-15,9.379187255429521e-15,1.0518706013866473e-17,9.37918725542952e-17
88,8.8,1.0422978099047023e-13,9.34083836133005e-13,1.0422978099047022e-15,9.340838361330051e-15,1.0422978099047023e-17,9.34083836133005e-17
89,8.9,1.0328273265379559e-13,9.30229403240069e-13,1.032827326537956e-15,9.30229403240069e-15,1.032827326537956e-17,9.30229403240069e-17
90,9.0,1.0234578551254503e-13,9.263562752778287e-13,1.0234578551254502e-15,9.26356275277829e-15,1.0234578551254502e-17,9.263562752778288e-17
91,9.1,1.014188128219111e-13,9.224652928785207e-13,1.014188128219111e-15,9.224652928785209e-15,1.014188128219111e-17,9.224652928785207e-17
92,9.200000000000001,1.005016905833061e-13,9.185572886367561e-13,1.005016905833061e-15,9.185572886367562e-15,1.005016905833061e-17,9.185572886367562e-17
93,9.3,9.959429742619835e-14,9.14633086864992e-13,9.959429742619836e-16,9.146330868649922e-15,9.959429742619835e-18,9.146330868649921e-17
94,9.4,9.869651449642812e-14,9.106935033605594e-13,9.869651449642733e-16,9.106935033605596e-15,9.869651449642732e-18,9.106935033605594e-17
95,9.5,9.780822535062483e-14,9.067393451841802e-13,9.780822535062484e-16,9.067393451841804e-15,9.780822535062482e-18,9.067393451841803e-17
96,9.600000000000001,9.692931585637863e-14,9.027714104498534e-13,9.692931585637863e-16,9.027714104498535e-15,9.692931585637861e-18,9.027714104498535e-17
97,9.700000000000001,9.605967409780592e-14,8.987904881259967e-13,9.605967409780592e-16,8.98790488125997e-15,9.605967409780592e-18,8.987904881259968e-17
98,9.8,9.519919028623037e-14,8.947973578477356e-13,9.519919028623039e-16,8.947973578477358e-15,9.519919028623038e-18,8.947973578477356e-17
